Date,Expense,Category,Amount
2024-09-12,Booking.com,Accommodation And Travel,150.0
2024-09-24,Playstation Store,Entertainment,29.99
2024-09-25,Ticketmaster,Entertainment,85.0
2024-09-28,Patreon,Entertainment,5.0
2024-09-29,GOG.com,Entertainment,14.99
2024-09-19,Vinyl Record Store,Entertainment,32.0
2024-09-01,Local Pub,Entertainment,28.5
2024-09-29,Vinted,Shopping,18.75
2024-09-09,Thrift Store,Shopping,20.5
2024-09-22,Craft Beer Shop,Shopping,24.0
2024-09-30,Adobe Creative Cloud,Subscriptions And Fees,29.99
2024-09-05,Barber Shop,Personal Care,30.0
2024-09-06,Nail Salon,Personal Care,35.0
2024-09-07,Car Park,Transportation,6.5
2024-09-08,Bike Rental,Transportation,15.0
2024-09-10,Shoe Repair,Repairs And Maintenance,18.0
2024-09-14,Tailor,Repairs And Maintenance,45.0
2024-09-15,Eyeglass Repair,Repairs And Maintenance,25.0
2024-09-16,Locksmith,Repairs And Maintenance,75.0
2024-09-17,Computer Repair,Repairs And Maintenance,85.0
2024-09-18,Phone Screen Replacement,Repairs And Maintenance,120.0
2024-09-09,Key Cutting,Repairs And Maintenance,5.0
2024-09-22,Organic Food Store,Groceries,55.0
2024-09-03,Food Truck,Groceries,9.5
2024-09-23,Vape Shop,Groceries,30.0
2024-09-02,Convenience Store,Food And Drinks,7.25
2024-09-04,Florist,Miscellaneous,22.0
2024-09-13,Photo Printing,Miscellaneous,10.0
2024-09-24,Comic Book Store,Entertainment,22.5
2024-09-25,Board Game Cafe,Entertainment,15.0
2024-09-26,Escape Room,Entertainment,25.0
2024-09-27,Karaoke Bar,Entertainment,35.0
2024-09-28,Bowling Alley,Entertainment,28.0
2024-09-29,Mini Golf,Entertainment,12.0
2024-09-30,Arcade,Entertainment,20.0
2024-09-22,Fishing License,Entertainment,25.0
2024-09-23,Golf Course Green Fee,Entertainment,45.0
2024-09-18,Surf Shop Rental,Entertainment,35.0
2024-09-19,Ski Pass,Entertainment,65.0
2024-09-20,Camping Equipment Rental,Entertainment,50.0
2024-09-21,Kayak Rental,Entertainment,40.0
2024-09-08,Flea Market,Entertainment,28.0
2024-09-16,Pottery Workshop,Entertainment,40.0
2024-09-15,Wine Tasting,Entertainment,30.0
2024-09-01,Gym Protein Shake,Health And Wellness,5.5
2024-09-10,Yoga Studio,Health And Wellness,18.0
2024-09-11,Dance Class,Health And Wellness,25.0
2024-09-17,Rock Climbing Gym,Health And Wellness,22.0
2024-09-02,Office Vending Machine,Food And Drinks,2.0
2024-09-03,Street Food Vendor,Food And Drinks,7.5
2024-09-05,Campus Cafe,Food And Drinks,6.75
2024-09-14,Cooking Class,Food And Drinks,35.0
2024-09-09,Food Co-op,Food And Drinks,38.5
2024-09-04,University Bookstore,Shopping,65.0
2024-09-07,Bike Shop,Shopping,42.0
2024-09-06,Library Late Fee,Subscriptions And Fees,3.5
2024-09-12,Language Learning App,Subscriptions And Fees,9.99
2024-09-13,Online Course,Subscriptions And Fees,49.99
2024-09-24,Tennis Court Rental,Entertainment,15.0
2024-09-25,Swimming Pool Entry,Entertainment,8.0
2024-09-26,Gym Day Pass,Entertainment,12.0
2024-09-27,Laser Tag,Entertainment,18.0
2024-09-28,Trampoline Park,Entertainment,20.0
2024-09-29,Go-Kart Track,Entertainment,30.0
2024-09-30,Paintball,Entertainment,35.0
2024-09-01,ATM Withdrawal Fee,Subscriptions And Fees,2.5
2024-09-05,Bank Transfer Fee,Subscriptions And Fees,1.0
2024-09-10,Foreign Transaction Fee,Subscriptions And Fees,3.75
2024-09-15,Credit Card Annual Fee,Subscriptions And Fees,59.0
2024-09-20,Overdraft Fee,Subscriptions And Fees,35.0
2024-09-25,Safe Deposit Box Rental,Subscriptions And Fees,25.0
2024-09-30,Investment Management Fee,Subscriptions And Fees,50.0
2024-09-04,Antivirus Software Renewal,Subscriptions And Fees,39.99
2024-09-09,Cloud Storage Subscription,Subscriptions And Fees,9.99
2024-09-14,Domain Name Renewal,Subscriptions And Fees,14.99
2024-09-19,Website Hosting Fee,Subscriptions And Fees,12.99
2024-09-02,Clothing Alteration,Repairs And Maintenance,15.0
2024-09-07,Watch Strap Replacement,Repairs And Maintenance,20.0
2024-09-12,Shoe Shine,Repairs And Maintenance,8.0
2024-09-17,Suit Dry Cleaning,Repairs And Maintenance,35.0
2024-09-22,Leather Goods Repair,Repairs And Maintenance,28.0
2024-09-27,Jewelry Cleaning,Repairs And Maintenance,12.0
2024-09-03,Tire Rotation,Vehicle Maintenance,40.0
2024-09-08,Oil Change,Vehicle Maintenance,55.0
2024-09-13,Car Detailing,Vehicle Maintenance,80.0
2024-09-18,Windshield Wiper Replacement,Vehicle Maintenance,25.0
2024-09-23,Battery Replacement,Vehicle Maintenance,120.0
2024-09-28,Brake Pad Replacement,Vehicle Maintenance,150.0
2024-09-24,VPN Service,Subscriptions And Fees,8.99
2024-09-29,Password Manager Subscription,Subscriptions And Fees,3.99
2024-09-10,Garden Tools Rental,Repairs And Maintenance,25.0
2024-09-15,Lawn Mowing Service,Repairs And Maintenance,40.0
2024-09-20,Tree Trimming Service,Repairs And Maintenance,150.0
2024-09-25,Pest Control Service,Repairs And Maintenance,85.0
2024-09-05,Plant Nursery,Shopping,32.0
