Transaction_ID,Description,Category
157,Ticketmaster,Entertainment
153,Bandcamp,Entertainment
160,GOG.com,Entertainment
163,Local Pub,Food and Drinks
164,Convenience Store,Food and Drinks
165,Food Truck,Food and Drinks
167,Barber Shop,Personal Care
168,Nail Salon,Personal Care
169,Car Park,Transportation
170,Bike Rental,Transportation
162,Adobe Creative Cloud,Subscriptions and Fees
158,Revolut Top-up,Subscriptions and Fees
159,Patreon,Subscriptions and Fees
172,Shoe Repair,Miscellaneous Expense
173,Watch Battery Replacement,Miscellaneous Expense
174,Key Cutting,Miscellaneous Expense
166,Florist,Miscellaneous Expense
174,(Not Provided in given data),Housing and Utilities
175,Photo Printing,Miscellaneous Expense
176,Tailor,Miscellaneous Expense
183,Craft Beer Shop,Miscellaneous Expense
187,Board Game Cafe,Miscellaneous Expense
188,Escape Room,Miscellaneous Expense
189,Karaoke Bar,Miscellaneous Expense
190,Bowling Alley,Miscellaneous Expense
191,Mini Golf,Miscellaneous Expense
192,Arcade,Miscellaneous Expense
198,Library Late Fee,Miscellaneous Expense
176,Tailor,Personal Care
177,Eyeglass Repair,Repairs and Maintenance
178,Locksmith,Repairs and Maintenance
181,Computer Repair,Repairs and Maintenance
180,Phone Screen Replacement,Repairs and Maintenance
182,"(Does not fit, set as shopping, ignore this)",Repairs and Maintenance
180,"(Set as Repairs, see below)",Repairs and Maintenance
181,Vinyl Record Store,Shopping
182,Thrift Store,Shopping
185,Vape Shop,Shopping
186,Comic Book Store,Shopping
196,University Bookstore,Shopping
199,Bike Shop,Shopping
180,"(Phon screen would set as repairs, Here we set 183, 187-193)",Entertainment
187,Board Game Cafe,Entertainment
188,Escape Room,Entertainment
189,Karaoke Bar,Entertainment
190,Bowling Alley,Entertainment
191,Mini Golf,Entertainment
192,Arcade,Entertainment
193,"Gym Protein Shake (Would fit food, However given a drink, we see this more as Entertainment than Food due to Name 'Shake')",Entertainment
202,Yoga Studio - Expense,Entertainment
203,Dance Class - Expense,Entertainment
205,Online Course - Expense,Entertainment
206,Cooking Class - Expense,Entertainment
207,Wine Tasting - Expense,Entertainment
208,Pottery Workshop - Expense,Entertainment
210,Karaoke Bar - Expense,Entertainment
211,Rock Climbing Gym - Expense,Entertainment
212,Surf Shop Rental - Expense,Entertainment
213,Ski Pass - Expense,Entertainment
214,Camping Equipment Rental - Expense,Entertainment
215,Kayak Rental - Expense,Entertainment
216,Fishing License - Expense,Entertainment
217,Golf Course Green Fee - Expense,Entertainment
218,Tennis Court Rental - Expense,Entertainment
219,Swimming Pool Entry - Expense,Entertainment
220,Gym Day Pass - Expense,Entertainment
221,Laser Tag - Expense,Entertainment
222,Trampoline Park - Expense,Entertainment
224,Go-Kart Track - Expense,Entertainment
200,Flea Market - Expense,Shopping
201,Food Co-op - Expense,Food and Drinks
223,Freelancing - Income,Miscellaneous Income
209,Stock Sale - Income,Investments
226,ATM Withdrawal Fee,Subscriptions and Fees
227,Bank Transfer Fee,Subscriptions and Fees
229,Credit Card Annual Fee,Subscriptions and Fees
230,Overdraft Fee,Subscriptions and Fees
232,Investment Management Fee,Subscriptions and Fees
246,Antivirus Software Renewal,Subscriptions and Fees
247,Cloud Storage Subscription,Subscriptions and Fees
248,Domain Name Renewal,Subscriptions and Fees
249,Website Hosting Fee,Subscriptions and Fees
240,Tire Rotation,Vehicle Maintenance
241,Oil Change,Vehicle Maintenance
242,Car Detailing,Vehicle Maintenance
243,Windshield Wiper Replacement,Vehicle Maintenance
244,Battery Replacement,Vehicle Maintenance
245,Brake Pad Replacement,Vehicle Maintenance
236,Suit Dry Cleaning,Personal Care
237,Leather Goods Repair,Repairs and Maintenance
225,Paintball,Miscellaneous Expense
231,Safe Deposit Box Rental,Miscellaneous Expense
233,Clothing Alteration,Miscellaneous Expense
234,Watch Strap Replacement,Miscellaneous Expense
235,Shoe Shine,Miscellaneous Expense
238,Jewelry Cleaning,Miscellaneous Expense
228,Foreign Transaction Fee,Miscellaneous Expense
239,Rental Income,Miscellaneous Income
257,GPT Subscription,Entertainment
252,Plant Nursery,Shopping
258,Cafe Mulino,Shopping
256,Pest Control Service,Repairs and Maintenance
254,Lawn Mowing Service,Repairs and Maintenance
255,Tree Trimming Service,Repairs and Maintenance
253,Garden Tools Rental,Repairs and Maintenance
250,VPN Service,Subscriptions and Fees
251,Password Manager Subscription,Subscriptions and Fees
