Transaction_ID,Description,Category
172,Shoe Repair,Repairs and Maintenance
173,Watch Battery Replacement,Repairs and Maintenance
174,Key Cutting,Repairs and Maintenance
152,Bolt,Miscellaneous Expense
153,Bandcamp,Miscellaneous Expense
175,Photo Printing,Shopping
176,Tailor,Shopping
181,Vinyl Record Store,Shopping
182,Thrift Store,Shopping
186,Comic Book Store,Shopping
196,University Bookstore,Shopping
199,Bike Shop,Shopping
177,Eyeglass Repair,Health and Wellness
193,Gym Protein Shake,Health and Wellness
178,Locksmith,Repairs and Maintenance
179,Computer Repair,Repairs and Maintenance
180,Phone Screen Replacement,Repairs and Maintenance
183,Craft Beer Shop,Food and Drinks
184,Organic Food Store,Food and Drinks
187,Board Game Cafe,Food and Drinks
194,Office Vending Machine,Food and Drinks
195,Street Food Vendor,Food and Drinks
197,Campus Cafe,Food and Drinks
189,Karaoke Bar,Entertainment
190,Bowling Alley,Entertainment
191,Mini Golf,Entertainment
192,Arcade,Entertainment
198,Library Late Fee,Entertainment
210,Karaoke Bar,Entertainment
211,Rock Climbing Gym,Entertainment
212,Surf Shop Rental,Entertainment
213,Ski Pass,Entertainment
214,Camping Equipment Rental,Entertainment
215,Kayak Rental,Entertainment
216,Fishing License,Entertainment
217,Golf Course Green Fee,Entertainment
218,Tennis Court Rental,Entertainment
219,Swimming Pool Entry,Entertainment
220,Gym Day Pass,Entertainment
221,Laser Tag,Entertainment
222,Trampoline Park,Entertainment
224,Go-Kart Track,Entertainment
202,Yoga Studio,Health and Wellness
200,Flea Market,Food and Drinks
201,Food Co-op,Food and Drinks
206,Cooking Class,Food and Drinks
207,Wine Tasting,Food and Drinks
207,Wine Tasting,Food and Drinks
208,Pottery Workshop,Shopping
204,Language Learning App,Subscriptions and Fees
205,Online Course,Subscriptions and Fees
203,Dance Class,Miscellaneous Expense
209,Stock Sale -> Stock sale under 'Investments' however transaction comes as expense so categorized under 'Miscellaneous Expense',Miscellaneous Expense
209,Stock Sale,Investments
233,Clothing Alteration,Shopping
235,Shoe Shine,Shopping
236,Suit Dry Cleaning,Shopping
238,Jewelry Cleaning,Shopping
240,Tire Rotation,Vehicle Maintenance
241,Oil Change,Vehicle Maintenance
242,Car Detailing,Vehicle Maintenance
243,Windshield Wiper Replacement,Vehicle Maintenance
244,Brake Pad Replacement,Vehicle Maintenance
245,Battery Replacement,Vehicle Maintenance
246,Antivirus Software Renewal,Subscriptions and Fees
247,Cloud Storage Subscription,Subscriptions and Fees
248,Domain Name Renewal,Subscriptions and Fees
249,Website Hosting Fee,Subscriptions and Fees
234,Watch Strap Replacement,Repairs and Maintenance
237,Leather Goods Repair,Repairs and Maintenance
225,Paintball,Miscellaneous Expense
226,ATM Withdrawal Fee,Miscellaneous Expense
227,Bank Transfer Fee,Miscellaneous Expense
228,Foreign Transaction Fee,Miscellaneous Expense
229,Credit Card Annual Fee,Miscellaneous Expense
230,Overdraft Fee,Miscellaneous Expense
231,Safe Deposit Box Rental,Miscellaneous Expense
232,Investment Management Fee,Miscellaneous Expense
239,Rental Income,Miscellaneous Income
250,VPN Service,Shopping
251,Password Manager Subscription,Shopping
252,Plant Nursery,Shopping
253,Garden Tools Rental,Shopping
254,Lawn Mowing Service,Shopping
255,Tree Trimming Service,Shopping
256,Pest Control Service,Shopping
257,GPT Subscription,Shopping
258,Cafe Mulino,Food and Drinks
