Date,Description,Amount (EUR),Transaction Type
9/19/24,Vinyl Record Store,32,Expense
9/20/24,Thrift Store,17.5,Expense
9/21/24,Craft Beer Shop,24,Expense
9/22/24,Organic Food Store,55,Expense
9/23/24,Vape Shop,30,Expense
9/24/24,Comic Book Store,22.5,Expense
9/25/24,Board Game Cafe,15,Expense
9/26/24,Escape Room,25,Expense
9/27/24,Karaoke Bar,35,Expense
9/28/24,Bowling Alley,28,Expense
9/29/24,Mini Golf,12,Expense
9/30/24,Arcade,20,Expense
9/1/24,Gym Protein Shake,5.5,Expense
9/2/24,Office Vending Machine,2,Expense
9/3/24,Street Food Vendor,7.5,Expense
9/4/24,University Bookstore,65,Expense
9/5/24,Campus Cafe,6.75,Expense
9/6/24,Library Late Fee,3.5,Expense
9/7/24,Bike Shop,42,Expense
9/8/24,Flea Market,28,Expense
9/9/24,Food Co-op,38.5,Expense
9/10/24,Yoga Studio,18,Expense
9/11/24,Dance Class,25,Expense
9/12/24,Language Learning App,9.99,Expense
9/13/24,Online Course,49.99,Expense
9/14/24,Cooking Class,35,Expense
9/15/24,Wine Tasting,29.99,Expense
9/16/24,Pottery Workshop,40,Expense
9/17/24,Stock Sale,500.00,Income
9/17/24,Karaoke Bar,19.99,Expense
9/17/24,Rock Climbing Gym,22,Expense
9/18/24,Surf Shop Rental,35,Expense
9/19/24,Ski Pass,65,Expense
9/20/24,Camping Equipment Rental,50,Expense
9/21/24,Kayak Rental,40,Expense
9/22/24,Fishing License,25,Expense
9/23/24,Golf Course Green Fee,45,Expense
9/24/24,Tennis Court Rental,15,Expense
9/25/24,Swimming Pool Entry,8,Expense
9/26/24,Gym Day Pass,12,Expense
9/27/24,Laser Tag,18,Expense
9/28/24,Trampoline Park,20,Expense
9/28/24,Freelancing,350,Income
9/29/24,Go-Kart Track,30,Expense
9/30/24,Paintball,35,Expense
9/1/24,ATM Withdrawal Fee,2.5,Expense
9/5/24,Bank Transfer Fee,1,Expense
9/10/24,Foreign Transaction Fee,3.75,Expense
9/15/24,Credit Card Annual Fee,59,Expense
9/20/24,Overdraft Fee,35,Expense
9/25/24,Safe Deposit Box Rental,25,Expense
9/30/24,Investment Management Fee,50,Expense
9/2/24,Clothing Alteration,15,Expense
9/7/24,Watch Strap Replacement,20,Expense
9/12/24,Shoe Shine,8,Expense
9/17/24,Suit Dry Cleaning,35,Expense
9/22/24,Leather Goods Repair,28,Expense
9/27/24,Jewelry Cleaning,12,Expense
9/29/24,Rental Income,450,Income
9/3/24,Tire Rotation,40,Expense
9/8/24,Oil Change,55,Expense
9/13/24,Car Detailing,80,Expense
9/18/24,Windshield Wiper Replacement,25,Expense
9/23/24,Battery Replacement,120,Expense
9/28/24,Brake Pad Replacement,150,Expense
9/4/24,Antivirus Software Renewal,39.99,Expense
9/9/24,Cloud Storage Subscription,9.99,Expense
9/14/24,Domain Name Renewal,14.99,Expense
9/19/24,Website Hosting Fee,12.99,Expense
9/24/24,VPN Service,8.99,Expense
9/29/24,Password Manager Subscription,3.99,Expense
9/5/24,Plant Nursery,32,Expense
9/10/24,Garden Tools Rental,25,Expense
9/15/24,Lawn Mowing Service,40,Expense
9/20/24,Tree Trimming Service,150,Expense
9/25/24,Pest Control Service,85,Expense
9/30/24,GPT Subscription,24.99,Expense
9/30/24,Cafe Mulino,12.99,Expense
